movieId,tagId,relevance
1,4,0.536
1,18,0.332
1,6,0.852
1,27,0.16
1,49,0.337
1,7,0.334
1,3,0.245
1,25,0.002
2,28,0.102
2,6,0.044
2,39,0.667
2,25,0.126
2,5,0.907
2,1,0.292
2,21,0.431
2,29,0.477
3,31,0.639
3,3,0.565
3,20,0.961
3,22,0.013
3,34,0.893
3,50,0.646
3,14,0.434
3,39,0.539
4,43,0.032
4,39,0.754
4,32,0.181
4,34,0.82
4,50,0.914
4,27,0.658
4,24,0.17
4,33,0.337
5,26,0.189
5,5,0.088
5,47,0.628
5,30,0.013
5,25,0.352
5,37,0.229
5,22,0.532
5,2,0.724
6,4,0.981
6,41,0.154
6,19,0.536
6,32,0.379
6,49,0.461
6,15,0.01
6,35,0.456
6,31,0.021
7,23,0.618
7,44,0.51
7,18,0.707
7,28,0.083
7,41,0.897
7,27,0.796
7,1,0.377
7,7,0.547
8,41,0.335
8,26,0.348
8,2,0.639
8,21,0.97
8,17,0.884
8,31,0.419
8,3,0.718
8,36,0.679
9,24,0.538
9,43,0.146
9,16,0.656
9,6,0.916
9,41,0.776
9,4,0.389
9,34,0.126
9,25,0.975
10,34,0.741
10,8,0.455
10,41,0.021
10,11,0.45
10,38,0.738
10,25,0.72
10,28,0.711
10,4,0.451
11,28,0.137
11,2,0.5
11,11,0.545
11,34,0.369
11,21,0.893
11,47,0.34
11,33,0.272
11,36,0.506
12,14,0.505
12,21,0.758
12,17,0.891
12,26,0.017
12,3,0.268
12,33,0.231
12,6,0.6
12,13,0.084
13,36,0.777
13,35,0.257
13,9,0.833
13,49,0.578
13,48,0.486
13,31,0.396
13,32,0.224
13,26,0.501
14,9,0.696
14,40,0.122
14,41,0.052
14,1,0.862
14,39,0.362
14,46,0.669
14,32,0.421
14,22,0.359
15,50,0.375
15,29,0.265
15,22,0.924
15,13,0.856
15,12,0.376
15,25,0.069
15,4,0.296
15,27,0.908
16,33,0.299
16,39,0.466
16,21,0.766
16,4,0.706
16,25,0.243
16,47,0.445
16,38,0.841
16,46,0.563
17,23,0.955
17,16,0.182
17,45,0.02
17,30,0.66
17,33,0.734
17,37,0.477
17,18,0.043
17,22,0.998
18,10,0.9
18,21,0.888
18,24,0.774
18,15,0.289
18,39,0.58
18,3,0.981
18,30,0.321
18,33,0.387
19,45,0.043
19,5,0.013
19,17,0.674
19,19,0.198
19,11,0.269
19,27,0.166
19,23,0.737
19,28,0.531
20,13,0.103
20,20,0.613
20,32,0.557
20,30,0.807
20,15,0.521
20,19,0.922
20,34,0.635
20,6,0.392
21,29,0.356
21,8,0.493
21,4,0.194
21,37,0.212
21,28,0.241
21,42,0.038
21,46,0.91
21,34,0.073
22,2,0.925
22,1,0.247
22,27,0.887
22,42,0.853
22,21,0.699
22,36,0.927
22,50,0.304
22,3,0.283
23,42,0.225
23,21,0.222
23,14,0.662
23,33,0.435
23,2,0.56
23,24,0.39
23,10,0.984
23,30,0.497
24,3,0.926
24,19,0.353
24,9,0.615
24,31,0.445
24,7,0.353
24,48,0.363
24,8,0.391
24,30,0.047
25,33,0.206
25,49,0.384
25,7,0.419
25,38,0.876
25,43,0.141
25,21,0.863
25,6,0.163
25,46,0.794
26,22,0.661
26,3,0.06
26,7,0.152
26,10,0.461
26,15,0.09
26,30,0.668
26,28,0.359
26,13,0.956
27,14,0.675
27,16,0.292
27,49,0.669
27,28,0.346
27,22,0.229
27,43,0.061
27,10,0.55
27,6,0.11
28,16,0.86
28,19,0.853
28,50,0.263
28,9,0.421
28,36,0.984
28,1,0.368
28,39,0.626
28,42,0.847
29,3,0.506
29,39,0.003
29,19,0.294
29,23,0.379
29,21,0.184
29,45,0.326
29,1,0.86
29,47,0.733
30,48,0.205
30,35,0.358
30,13,0.778
30,26,0.283
30,41,0.89
30,44,0.983
30,5,0.163
30,50,0.027
31,47,0.101
31,2,1.0
31,41,0.605
31,44,0.27
31,11,0.893
31,13,0.074
31,24,0.057
31,12,0.255
32,9,0.864
32,17,0.666
32,27,0.121
32,6,0.916
32,40,0.287
32,49,0.801
32,34,0.866
32,36,0.983
33,20,0.932
33,29,0.441
33,16,0.388
33,1,0.928
33,6,0.895
33,8,0.943
33,40,0.18
33,7,0.904
34,25,0.803
34,1,0.084
34,27,0.536
34,14,0.421
34,16,0.777
34,49,0.39
34,48,0.306
34,9,0.874
35,8,0.714
35,37,0.875
35,26,0.311
35,18,0.547
35,49,0.662
35,4,0.993
35,41,0.666
35,35,0.308
36,13,0.17
36,28,0.047
36,14,0.222
36,32,0.829
36,3,0.449
36,49,0.965
36,5,0.401
36,10,0.718
37,28,0.043
37,46,0.535
37,35,0.311
37,24,0.031
37,5,0.675
37,14,0.156
37,6,0.644
37,29,0.099
38,46,0.662
38,4,0.643
38,27,0.405
38,47,0.429
38,31,0.68
38,40,0.087
38,25,0.216
38,22,0.657
39,42,0.421
39,9,0.263
39,46,0.411
39,43,0.184
39,38,0.529
39,20,0.661
39,24,0.55
39,33,0.991
40,1,0.601
40,38,0.454
40,39,0.655
40,46,0.627
40,10,0.828
40,34,0.479
40,48,0.372
40,43,0.808
41,30,0.786
41,24,0.339
41,42,0.169
41,19,0.375
41,35,0.586
41,37,0.491
41,38,0.372
41,48,0.421
42,12,0.975
42,7,0.506
42,43,0.713
42,40,0.764
42,5,0.488
42,15,0.526
42,37,0.232
42,25,0.627
43,34,0.97
43,32,0.338
43,22,0.481
43,21,0.235
43,39,0.729
43,41,0.841
43,27,0.691
43,42,0.711
44,10,0.744
44,24,0.179
44,3,0.558
44,9,0.249
44,50,0.953
44,42,0.183
44,11,0.983
44,26,0.5
45,1,0.439
45,31,0.067
45,10,0.747
45,18,0.879
45,23,0.396
45,44,0.047
45,33,0.429
45,41,0.416
46,6,0.365
46,21,0.778
46,29,0.971
46,30,0.548
46,1,0.673
46,8,0.562
46,3,0.729
46,23,0.822
47,45,0.449
47,22,0.816
47,43,0.836
47,15,0.429
47,3,0.838
47,12,0.348
47,9,0.649
47,42,0.125
48,23,0.118
48,35,0.129
48,20,0.517
48,44,0.6
48,5,0.515
48,50,0.4
48,14,0.5
48,4,0.799
49,12,0.396
49,23,0.359
49,15,0.938
49,22,0.103
49,45,0.257
49,27,0.692
49,32,0.368
49,8,0.19
50,5,0.415
50,28,0.094
50,42,0.299
50,48,0.508
50,29,0.376
50,49,0.844
50,46,0.332
50,3,0.349
51,22,0.321
51,39,0.825
51,12,0.804
51,8,0.316
51,2,0.287
51,29,0.32
51,26,0.472
51,33,0.226
52,49,0.7
52,3,0.558
52,40,0.849
52,31,0.911
52,10,0.163
52,14,0.464
52,22,0.789
52,16,0.476
53,29,0.866
53,30,0.983
53,18,0.906
53,28,0.611
53,19,0.322
53,6,0.566
53,42,0.613
53,26,0.129
54,50,0.273
54,4,0.235
54,11,0.291
54,45,0.908
54,27,0.237
54,33,0.698
54,29,0.808
54,40,0.978
55,38,0.988
55,25,0.344
55,36,0.588
55,5,0.14
55,24,0.967
55,30,0.304
55,41,0.154
55,9,0.454
56,40,0.049
56,15,0.867
56,50,0.929
56,13,0.768
56,19,0.611
56,47,0.026
56,38,0.158
56,39,0.333
57,43,0.216
57,11,0.175
57,21,0.462
57,3,0.172
57,7,0.981
57,16,0.524
57,47,0.606
57,23,0.237
58,7,0.765
58,27,0.582
58,10,0.738
58,16,0.957
58,44,0.615
58,20,0.311
58,11,0.432
58,29,0.601
59,37,0.146
59,10,0.679
59,13,0.702
59,15,0.792
59,20,0.159
59,44,0.169
59,29,0.499
59,33,0.745
60,7,0.926
60,20,0.405
60,41,0.553
60,12,0.801
60,45,0.793
60,2,0.432
60,32,0.718
60,48,0.867
61,18,0.204
61,17,0.19
61,36,0.66
61,20,0.896
61,50,0.41
61,16,0.302
61,10,0.488
61,40,0.186
62,21,0.637
62,33,0.141
62,5,0.334
62,28,0.441
62,35,0.748
62,20,0.468
62,7,0.302
62,29,0.697
63,31,0.574
63,23,0.092
63,24,0.009
63,8,0.714
63,15,0.374
63,49,0.45
63,17,0.387
63,18,0.178
64,12,0.244
64,42,0.806
64,44,0.372
64,22,0.161
64,14,0.993
64,29,0.366
64,10,0.88
64,36,0.768
65,35,0.225
65,45,0.598
65,28,0.155
65,44,0.599
65,42,0.445
65,1,0.713
65,15,0.32
65,31,0.711
66,42,0.26
66,30,0.803
66,22,0.182
66,49,0.182
66,43,0.77
66,4,0.913
66,16,0.242
66,2,0.125
67,42,0.419
67,18,0.974
67,26,0.694
67,36,0.325
67,31,0.135
67,4,0.232
67,25,0.769
67,37,1.0
68,20,0.743
68,6,0.619
68,24,0.055
68,11,0.148
68,27,0.768
68,18,0.229
68,30,0.518
68,35,0.041
69,40,0.072
69,50,0.538
69,24,0.48
69,9,0.627
69,13,0.291
69,15,0.932
69,2,0.324
69,5,0.392
70,41,0.664
70,42,0.517
70,13,0.194
70,34,0.864
70,40,0.28
70,14,0.47
70,48,0.137
70,3,0.819
71,21,0.957
71,9,0.106
71,16,0.438
71,10,0.056
71,5,0.751
71,24,0.37
71,41,0.758
71,15,0.565
72,42,0.635
72,40,0.824
72,26,0.967
72,47,0.818
72,22,0.642
72,50,0.246
72,7,0.588
72,11,0.31
73,38,0.911
73,22,0.486
73,19,0.509
73,31,0.367
73,50,0.457
73,45,0.524
73,44,0.646
73,17,0.144
74,28,0.644
74,48,0.209
74,4,0.025
74,43,0.651
74,24,0.171
74,26,0.614
74,44,0.262
74,32,0.435
75,38,0.593
75,33,0.706
75,25,0.899
75,48,0.956
75,13,0.668
75,1,0.247
75,5,0.863
75,41,0.341
76,14,0.649
76,44,0.38
76,26,0.953
76,48,0.181
76,36,0.576
76,5,0.175
76,35,0.225
76,20,0.535
77,38,0.777
77,50,0.983
77,44,0.715
77,3,0.018
77,12,0.018
77,28,0.934
77,41,0.057
77,22,0.063
78,46,0.19
78,7,0.246
78,9,0.023
78,22,0.07
78,42,0.217
78,13,0.33
78,17,0.138
78,16,0.165
79,32,0.423
79,48,0.461
79,31,0.66
79,38,0.351
79,43,0.87
79,40,0.876
79,16,0.143
79,8,0.451
80,35,0.085
80,15,0.97
80,36,0.767
80,9,0.306
80,16,0.242
80,49,0.004
80,46,0.257
80,11,0.917
81,8,0.772
81,16,0.692
81,33,0.652
81,20,0.516
81,1,0.245
81,5,0.851
81,18,0.914
81,6,0.86
82,14,0.101
82,36,0.474
82,28,0.197
82,32,0.839
82,3,0.529
82,5,0.735
82,4,0.918
82,7,0.725
83,14,0.623
83,23,0.579
83,47,0.696
83,10,0.855
83,9,0.063
83,45,0.938
83,37,0.447
83,11,0.865
84,18,0.339
84,33,0.126
84,5,0.669
84,17,0.783
84,27,0.989
84,43,0.913
84,45,0.923
84,30,0.617
85,35,0.941
85,48,0.169
85,36,0.778
85,21,0.783
85,32,0.455
85,41,0.072
85,42,0.471
85,37,0.866
86,29,0.758
86,26,0.534
86,16,0.949
86,45,0.669
86,25,0.55
86,20,0.549
86,21,0.019
86,35,0.528
87,29,0.985
87,44,0.723
87,9,0.121
87,48,0.877
87,31,0.14
87,28,0.248
87,47,0.099
87,43,0.963
88,38,0.079
88,19,0.915
88,22,0.874
88,9,0.75
88,21,0.887
88,44,0.393
88,28,0.425
88,49,0.819
89,3,0.457
89,17,0.21
89,15,0.872
89,19,0.168
89,30,0.865
89,43,0.301
89,35,0.314
89,14,0.283
90,26,0.504
90,23,0.008
90,16,0.716
90,27,0.438
90,29,0.171
90,11,0.296
90,1,0.299
90,19,0.954
91,4,0.293
91,47,0.969
91,16,0.875
91,29,0.423
91,15,0.843
91,1,0.667
91,3,0.885
91,24,0.064
92,49,0.178
92,30,0.785
92,11,0.854
92,2,0.917
92,36,0.838
92,10,0.006
92,8,0.879
92,45,0.242
93,31,0.094
93,43,0.845
93,34,0.978
93,33,0.605
93,23,0.213
93,12,0.635
93,27,0.6
93,32,0.343
94,33,0.786
94,37,0.5
94,2,0.402
94,35,0.139
94,12,0.61
94,46,0.784
94,13,0.895
94,19,0.46
95,19,0.89
95,10,0.371
95,8,0.722
95,15,0.203
95,38,0.5
95,31,0.963
95,21,0.409
95,5,0.765
96,49,0.12
96,46,0.552
96,39,0.377
96,31,0.104
96,30,0.19
96,15,0.044
96,14,0.525
96,25,0.829
97,50,0.754
97,34,0.747
97,48,0.187
97,13,0.103
97,12,0.312
97,17,0.261
97,27,0.666
97,19,0.014
98,43,0.956
98,26,0.988
98,27,0.958
98,42,0.388
98,37,0.964
98,23,0.776
98,46,0.942
98,20,0.917
99,44,0.991
99,6,0.607
99,24,0.927
99,14,0.101
99,4,0.31
99,45,0.366
99,1,0.751
99,27,0.571
100,20,0.287
100,35,0.389
100,11,0.654
100,34,0.54
100,31,0.357
100,36,0.085
100,3,0.26
100,50,0.072
